"txid"	"bin"	"shopperinteraction"	"cardtype"	"amount"	"currencycode"	"txtype"	"issuercountrycode"	"accountriskscore"	"threed"	"acquirer"	"auths"
10341	"497043"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10342	"497043"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10343	"497203"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10344	"497203"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10345	"497040"	"Ecommerce"	NA	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10346	"497040"	"Ecommerce"	"DEBIT"	999	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10347	"457278"	"Ecommerce"	"PREPAID"	1000	"EUR"	"Authorisation"	"GN"	-50	"no 3D secure"	"Adyen Int."	0
10348	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	50	"3D secure"	"Adyen Domestic"	1
10349	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	50	"3D secure"	"Adyen Domestic"	1
10350	"453304"	"Ecommerce"	NA	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10351	"453304"	"Ecommerce"	"DEFFERED_DEBIT"	2000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10352	"513162"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10353	"513162"	"Ecommerce"	"CREDIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	1
10354	"513162"	"Ecommerce"	NA	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10355	"513162"	"Ecommerce"	"CREDIT"	3000	"EUR"	"Authorisation"	"FR"	-50	"3D secure"	"Adyen Int."	1
10356	"420118"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10357	"420118"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10358	"497202"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10359	"497202"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	1
10360	"420118"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	0
10361	"420118"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Domestic"	0
10362	"497040"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	0
10363	"497040"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	0
10364	"420118"	"Ecommerce"	NA	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	0
10365	"420118"	"Ecommerce"	"DEBIT"	1000	"EUR"	"Authorisation"	"FR"	-50	"no 3D secure"	"Adyen Int."	0
